id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
206	1990.90000000	100.00000000	mua	86.10380554	23	75.00000000	27.91757589		80856	0
207	6489.90000000	100.00000000	mua	99.13824463	5	125.00000000	1.39076872	good	4028	0
208	2143.90000000	100.00000000	mua	91.98786926	5	125.00000000	22.27715935		64520	0
209	2964.20000000	100.00000000	good	105.94607544	21	175.00000000	23.84194680		69052	0
210	3722.80000000	100.00000000	good	84.12085724	21	175.00000000	2.92275502		8465	0
211	3233.80000000	100.00000000	good	87.05484772	21	175.00000000	2.34027567		6778	0
218	1719.70000000	100.00000000	mua	84.21646118	21	175.00000000	22.74569787		65877	0
232	1850.90000000	100.00000000	good	72.88211060	16	225.00000000	0.18437699	noise	534	0
234	1403.70000000	100.00000000	good	64.49154663	3	375.00000000	0.14087230		408	0
235	1241.40000000	100.00000000	mua	57.69777679	16	225.00000000	1.63487833		4735	0
238	3384.10000000	100.00000000	good	76.31508636	17	275.00000000	1.18947325		3445	0
239	2121.30000000	100.00000000	mua	75.08618164	17	275.00000000	8.71233047	good	25233	0
241	1540.80000000	100.00000000	good	66.94390869	16	225.00000000	2.26155291		6550	0
245	1961.00000000	100.00000000	mua	89.44662476	17	275.00000000	7.43688368		21539	0
247	3060.40000000	100.00000000	mua	69.44692230	4	325.00000000	0.61286357	good	1775	0
248	2493.10000000	100.00000000	good	74.50962830	4	325.00000000	3.92094578		11356	0
249	2068.70000000	100.00000000	good	69.19267273	17	275.00000000	0.51825816		1501	0
250	2066.10000000	100.00000000	good	72.58647919	4	325.00000000	1.87898793		5442	0
251	2004.40000000	100.00000000	mua	88.68936157	4	325.00000000	5.59553076		16206	0
254	2228.60000000	100.00000000	good	73.82287598	3	375.00000000	0.66810762		1935	0
255	3564.80000000	100.00000000	good	118.40200043	3	375.00000000	0.48476646		1404	0
258	1662.60000000	100.00000000	good	69.23237610	3	375.00000000	6.50602160		18843	0
263	1449.70000000	100.00000000	mua	58.17432404	20	425.00000000	0.20233130		586	0
265	1792.80000000	100.00000000	mua	78.12370300	20	425.00000000	6.28297379		18197	0
267	2549.10000000	100.00000000	good	98.48654175	2	475.00000000	15.89681794		46041	0
268	2713.50000000	100.00000000	good	73.86231995	2	475.00000000	0.13845538		401	0
269	1927.20000000	100.00000000	mua	83.38794708	2	475.00000000	8.33563517		24142	0
272	2655.30000000	100.00000000	good	91.09147644	19	525.00000000	21.38531337		61937	0
273	2574.20000000	100.00000000	good	76.09385681	19	525.00000000	0.73198354		2120	0
274	2718.40000000	100.00000000	good	88.56216431	19	525.00000000	2.45594288		7113	0
275	2011.40000000	100.00000000	mua	87.44237518	19	525.00000000	6.55815816		18994	0
276	2883.40000000	100.00000000	mua	86.60072327	18	575.00000000	10.67073171		30905	0
279	1803.10000000	100.00000000	mua	77.58621216	1	675.00000000	4.00726459		11606	0
280	2853.10000000	100.00000000	mua	93.51976776	6	725.00000000	5.45293208		15793	0
281	2442.20000000	100.00000000	mua	100.59289551	7	25.00000000	9.98743198		28926	0
286	3157.30000000	100.00000000	good	117.98048401	3	375.00000000	0.12291799		356	0
287	2062.30000000	100.00000000	mua	95.82267761	3	375.00000000	4.70230368		13619	0
288	3212.50000000	100.00000000	good	79.62115479	18	575.00000000	2.56159711		7419	0
289	1851.70000000	100.00000000	mua	79.15350342	18	575.00000000	2.25084938		6519	0
292	13003.20000000	100.00000000	mua	103.17179871	3	375.00000000	0.01657321	noise	48	0
295	13003.20000000	100.00000000	mua	103.17179871	3	375.00000000	0.64014032	good	1854	0
296	5862.10000000	100.00000000	good	126.35387421	2	475.00000000	0.00034528	noise	1	0
297	5862.10000000	100.00000000	good	126.35387421	2	475.00000000	1.03617104		3001	0
300	5783.30000000	100.00000000	mua	84.70117188	20	425.00000000	1.65663067	good	4798	0
301	5783.30000000	100.00000000	mua	84.70117188	20	425.00000000	0.01173936	noise	34	0
302	5304.90000000	100.00000000	good	116.42652893	4	325.00000000	0.00241693	noise	7	0
303	5304.90000000	100.00000000	good	116.42652893	4	325.00000000	8.09048974		23432	0
304	4931.90000000	100.00000000	mua	86.41628265	25	450.00000000	0.30591387	good	886	0
305	4931.90000000	100.00000000	mua	86.41628265	25	450.00000000	0.00310748	noise	9	0
308	4583.10000000	100.00000000	good	105.27642059	20	425.00000000	0.00207165	noise	6	0
309	2664.00000000	100.00000000	good	89.45979309	20	425.00000000	2.82020827	good	8168	0
311	4142.50000000	100.00000000	good	96.99609375	15	200.00000000	0.09633180		279	0
312	4142.50000000	100.00000000	good	96.99609375	15	200.00000000	0.00034528	noise	1	0
313	4050.70000000	100.00000000	mua	76.76760864	31	750.00000000	0.27622020		800	0
314	4050.70000000	100.00000000	mua	76.76760864	31	750.00000000	0.00586968	noise	17	0
315	4025.60000000	100.00000000	good	117.23241425	16	225.00000000	29.62392619		85798	0
316	4025.60000000	100.00000000	good	117.23241425	16	225.00000000	0.00759606	noise	22	0
317	3983.70000000	100.00000000	good	94.04924011	26	100.00000000	1.64972516		4778	0
318	3983.70000000	100.00000000	good	94.04924011	26	100.00000000	0.00310748	noise	9	0
320	3953.70000000	100.00000000	mua	95.35438538	14	650.00000000	0.00310748	noise	9	0
322	3479.90000000	100.00000000	good	98.34907532	14	650.00000000	1.69737315		4916	0
323	3479.90000000	100.00000000	good	98.34907532	14	650.00000000	0.00759606	noise	22	0
325	3907.70000000	100.00000000	good	80.54837799	13	350.00000000	0.00069055	noise	2	0
327	3907.70000000	100.00000000	good	80.54837799	13	350.00000000	0.76340359		2211	0
328	3907.70000000	100.00000000	good	78.72248840	13	350.00000000	0.00069055	noise	2	0
338	3684.30000000	100.00000000	good	104.89359283	16	225.00000000	0.87596332		2537	0
339	3495.10000000	100.00000000	good	81.14840698	10	150.00000000	0.49063614		1421	0
340	3495.10000000	100.00000000	good	81.14840698	10	150.00000000	0.00103583	noise	3	0
341	3490.10000000	100.00000000	good	92.42326355	27	250.00000000	0.55865536		1618	0
342	3490.10000000	100.00000000	good	92.42326355	27	250.00000000	0.00138110	noise	4	0
343	3469.80000000	100.00000000	good	109.77809906	23	75.00000000	12.90777007		37384	0
344	3469.80000000	100.00000000	good	109.77809906	23	75.00000000	0.00310748	noise	9	0
345	3318.80000000	100.00000000	mua	91.11291504	3	375.00000000	0.41156810	good	1192	0
346	3318.80000000	100.00000000	mua	91.11291504	3	375.00000000	0.00069055	noise	2	0
348	2849.10000000	100.00000000	good	69.18270874	9	300.00000000	8.22790929		23830	0
349	3261.50000000	100.00000000	mua	59.27266312	16	225.00000000	0.10151092		294	0
350	3261.50000000	100.00000000	mua	59.27266312	16	225.00000000	0.00103583	noise	3	0
351	3246.90000000	100.00000000	good	82.08885956	4	325.00000000	0.60216004		1744	0
352	3246.90000000	100.00000000	good	82.08885956	4	325.00000000	0.00069055	noise	2	0
353	3179.70000000	100.00000000	mua	84.39968872	1	675.00000000	2.10652432	good	6101	0
354	3179.70000000	100.00000000	mua	84.39968872	1	675.00000000	0.01173936	noise	34	0
355	3123.50000000	100.00000000	good	113.67744446	8	50.00000000	0.73336464		2124	0
356	3123.50000000	100.00000000	good	113.67744446	8	50.00000000	0.00069055	noise	2	0
359	2989.60000000	100.00000000	mua	75.63131714	4	325.00000000	0.11428611	good	331	0
360	2989.60000000	100.00000000	mua	74.10318756	13	350.00000000	0.00034528	noise	1	0
361	2872.00000000	100.00000000	mua	76.02504730	29	400.00000000	0.06214955		180	0
362	2872.00000000	100.00000000	mua	76.02504730	29	400.00000000	0.00034528	noise	1	0
363	2855.50000000	100.00000000	mua	82.05550385	17	275.00000000	4.04213739	good	11707	0
364	2855.50000000	100.00000000	mua	82.05550385	17	275.00000000	0.00483385	noise	14	0
369	2532.00000000	100.00000000	good	91.18821716	20	425.00000000	0.42054526		1218	0
372	2506.00000000	100.00000000	good	73.97399139	7	25.00000000	0.42641494		1235	0
373	2506.00000000	100.00000000	good	73.97399139	7	25.00000000	0.00276220	noise	8	0
375	2138.90000000	100.00000000	mua	82.99198914	22	625.00000000	10.70042538	good	30991	0
376	2138.90000000	100.00000000	mua	82.99198914	22	625.00000000	0.00897716	noise	26	0
381	1864.10000000	100.00000000	good	71.64759827	27	250.00000000	1.43013010		4142	0
382	2127.60000000	100.00000000	mua	71.39431763	15	200.00000000	0.09529597		276	0
383	1756.40000000	100.00000000	good	52.12096786	21	175.00000000	0.69158633		2003	0
384	2132.30000000	100.00000000	mua	99.14757538	26	100.00000000	12.11778029	good	35096	0
385	2434.30000000	100.00000000	good	69.02005005	17	275.00000000	0.96677071		2800	0
387	1744.40000000	100.00000000	mua	79.51420593	26	100.00000000	0.44298815	good	1283	0
